Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-28 17:47:55.572 +0530,"Success",0:00:00,0,0,0,"20231128_174755.572/LogFile.txt","","",1
2023-11-28 18:03:58.101 +0530,"Success",0:00:00,0,0,0,"20231128_180358.101/LogFile.txt","","",1
