Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-28 11:59:18.527 +0530,"Aborted",0:26:12,1,0,1,"20231128_115918.527/LogFile.txt","","",0
2023-11-28 12:29:03.382 +0530,"Success",0:00:00,0,0,0,"20231128_122903.382/LogFile.txt","","",1
2023-11-28 12:31:50.995 +0530,"Failure",0:00:22,1,0,1,"20231128_123150.995/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""Contacts""",0
2023-11-28 12:32:52.428 +0530,"Failure",0:00:16,1,0,1,"20231128_123252.428/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""Contacts""",0
2023-11-28 13:17:57.645 +0530,"Failure",0:00:00,1,0,1,"20231128_131757.645/LogFile.txt","","File Not Found -- imagelocation Error - Could Not Open Image: History",0
2023-11-28 13:18:16.959 +0530,"Aborted",0:00:00,1,0,0,"20231128_131816.959/LogFile.txt","","",0
2023-11-28 13:18:18.510 +0530,"Aborted",0:01:52,1,0,1,"20231128_131818.510/LogFile.txt","","",0
2023-11-28 13:20:12.040 +0530,"Aborted",0:00:33,1,0,1,"20231128_132012.040/LogFile.txt","","",0
